iter	Passed	Remaining
228	277	932
229	277	930
230	278	927
231	279	924
232	279	921
233	280	918
234	281	915
235	281	912
236	282	910
237	283	907
238	283	904
239	284	902
240	288	908
241	289	905
242	289	902
243	290	900
244	291	898
245	292	896
246	293	894
247	294	891
248	294	889
249	295	886
250	296	884
251	297	882
252	298	880
253	298	877
254	300	876
255	301	876
256	302	875
257	303	872
258	304	870
259	304	867
260	305	865
261	306	863
262	307	861
263	308	859
264	308	856
265	309	854
266	310	852
267	311	850
268	312	847
269	312	845
270	313	843
271	314	843
272	317	844
273	318	843
274	318	840
275	319	839
276	320	836
277	321	834
278	322	833
279	323	831
280	324	829
281	325	827
282	325	825
283	326	823
284	327	820
285	327	818
286	328	816
287	329	815
288	331	814
289	331	812
290	332	810
291	333	808
292	334	806
293	335	804
294	335	802
295	336	800
296	337	798
297	338	796
298	339	794
299	339	792
300	340	790
301	341	788
302	341	786
303	342	784
304	343	782
305	344	780
306	345	779
307	346	777
308	346	775
309	347	773
310	348	771
311	349	769
312	349	767
313	350	765
314	351	763
315	352	761
316	352	759
317	353	758
318	354	756
319	354	754
320	355	752
321	356	750
322	357	748
323	358	747
324	359	746
325	360	745
326	361	743
327	362	742
328	363	740
329	363	738
330	364	737
331	365	735
332	366	734
333	367	732
334	368	731
335	369	729
336	370	727
337	370	726
338	371	724
339	372	724
340	374	723
341	374	721
342	375	719
343	376	717
344	377	716
345	378	714
346	378	712
347	379	711
348	380	709
349	381	707
350	381	705
351	382	704
352	383	702
353	383	700
354	384	698
355	385	697
356	386	696
357	388	695
358	389	694
359	390	693
360	391	692
361	391	690
362	392	689
363	393	688
364	394	686
365	395	685
366	396	683
367	397	682
368	398	680
369	398	679
370	399	677
371	400	676
372	401	675
373	402	673
374	403	673
375	405	672
376	405	670
377	406	669
378	407	668
379	408	666
380	409	665
381	410	663
382	411	662
383	412	662
384	413	660
385	414	659
386	416	659
387	417	658
388	419	659
389	421	658
390	421	657
391	422	655
392	423	654
393	424	652
394	425	651
395	426	650
396	427	648
397	428	647
398	431	649
399	433	650
400	434	649
401	435	648
402	436	646
403	437	645
404	438	643
405	438	642
406	439	640
407	440	638
408	441	637
409	441	635
410	443	634
411	445	635
412	447	636
413	449	636
414	450	634
415	451	633
416	452	631
417	452	630
418	453	628
419	454	627
420	455	625
421	456	624
422	459	626
423	461	626
424	463	627
425	466	628
426	468	628
427	469	627
428	470	625
429	471	625
430	473	625
431	474	623
432	475	622
433	476	620
434	477	620
435	479	620
436	481	620
437	482	619
438	484	618
439	485	617
440	487	618
441	488	616
442	489	615
443	490	613
444	490	612
445	492	611
446	494	612
447	498	613
448	499	613
449	502	613
450	503	613
451	504	611
452	504	609
453	505	608
454	506	607
455	508	606
456	510	606
457	514	608
458	517	610
459	518	608
460	519	607
461	520	606
462	521	605
463	523	604
464	524	603
465	526	603
466	529	603
467	530	603
468	532	602
469	533	601
470	534	600
471	535	598
472	536	597
473	536	595
474	537	594
475	538	592
476	539	591
477	540	590
478	541	589
479	547	593
480	548	592
481	549	590
482	550	589
483	551	587
484	551	585
485	552	584
486	553	582
487	554	581
488	555	580
489	557	580
490	561	581
491	562	581
492	563	579
493	564	578
494	565	576
495	566	575
496	566	573
497	567	572
498	568	570
499	568	568
500	570	568
501	574	569
502	577	570
503	579	569
504	580	568
505	581	567
506	581	565
507	582	564
508	583	562
509	584	561
510	585	560
511	587	559
512	590	560
513	592	560
514	593	559
515	594	557
516	596	557
517	597	555
518	597	554
519	598	552
520	599	551
521	600	550
522	603	550
523	605	549
524	606	548
525	607	547
526	608	545
527	608	544
528	609	542
529	610	541
530	611	539
531	612	538
532	613	537
533	616	538
534	619	538
535	621	537
536	622	536
537	623	535
538	624	534
539	625	532
540	626	531
541	626	529
542	627	528
543	629	527
544	631	527
545	633	527
546	635	526
547	636	525
548	637	524
549	638	522
550	639	521
551	640	519
552	641	518
553	641	516
554	643	515
555	647	516
556	648	515
557	649	514
558	651	513
559	652	512
560	653	511
561	653	509
562	654	508
563	655	506
564	656	505
565	657	503
566	660	504
567	662	503
568	663	502
569	665	502
570	667	501
571	668	500
572	669	498
573	670	497
574	671	496
575	674	496
576	676	495
577	677	494
578	679	493
579	680	492
580	681	491
581	682	490
582	683	489
583	686	488
584	687	487
585	688	486
586	689	485
587	690	483
588	691	482
589	693	481
590	694	480
591	695	479
592	695	477
593	696	476
594	698	475
595	701	475
596	703	475
597	705	474
598	706	473
599	708	472
600	709	471
601	710	469
602	714	470
603	716	469
604	718	468
605	718	467
606	720	466
607	722	465
608	723	464
609	725	463
610	727	463
611	730	463
612	731	461
613	732	460
614	733	458
615	734	457
616	735	456
617	737	455
618	738	454
619	741	454
620	744	454
621	745	452
622	746	451
623	746	450
624	747	448
625	748	447
626	749	445
627	750	444
628	751	443
629	753	442
630	754	441
631	758	441
632	760	440
633	761	439
634	762	438
635	763	436
636	764	435
637	765	434
638	766	432
639	767	431
640	770	431
641	773	431
642	774	430
643	775	428
644	776	427
645	777	426
646	778	424
647	779	423
648	780	422
649	781	420
650	782	419
651	787	420
652	789	419
653	790	418
654	791	417
655	792	415
656	793	414
657	794	413
658	795	411
659	796	410
660	796	408
661	797	407
662	799	406
663	801	405
664	803	404
665	804	403
666	805	402
667	805	400
668	806	399
669	807	397
670	808	396
671	808	394
672	809	393
673	811	392
674	815	392
675	817	392
676	819	390
677	820	389
678	821	388
679	822	386
680	823	385
681	824	384
682	824	382
683	825	381
684	830	381
685	832	380
686	833	379
687	834	378
688	835	377
689	836	375
690	837	374
691	838	373
692	839	371
693	839	370
694	844	370
695	846	369
696	848	368
697	849	367
698	850	366
699	851	365
700	852	363
701	855	363
702	857	362
703	858	360
704	859	359
705	860	358
706	861	356
707	862	355
708	863	354
709	864	353
710	865	351
711	866	350
712	869	350
713	871	349
714	872	347
715	873	346
716	874	345
717	875	343
718	876	342
719	877	341
720	878	340
721	879	338
722	880	337
723	881	336
724	883	335
725	884	333
726	885	332
727	885	330
728	886	329
729	888	328
730	889	327
731	892	326
732	894	325
733	895	324
734	895	323
735	898	322
736	899	320
737	899	319
738	900	318
739	901	316
740	902	315
741	903	314
742	904	312
743	905	311
744	908	310
745	909	309
746	910	308
747	914	307
748	916	306
749	916	305
750	917	304
751	918	303
752	920	301
753	922	300
754	924	300
755	925	298
756	928	298
757	931	297
758	932	296
759	933	294
760	935	293
761	936	292
762	937	291
763	938	289
764	939	288
765	940	287
766	943	286
767	945	285
768	946	284
769	947	282
770	948	281
771	949	280
772	950	279
773	952	277
774	953	276
775	959	276
776	960	275
777	961	274
778	962	273
779	964	271
780	966	270
781	967	269
782	971	269
783	973	268
784	975	267
785	977	266
786	979	265
787	980	263
788	981	262
789	983	261
790	987	260
791	990	260
792	992	259
793	993	257
794	995	256
795	1002	256
796	1006	256
797	1008	255
798	1009	254
799	1015	253
800	1020	253
801	1022	252
802	1024	251
803	1026	250
804	1030	249
805	1032	248
806	1033	247
807	1035	246
808	1038	245
809	1040	244
810	1043	243
811	1046	242
812	1048	241
813	1049	239
814	1051	238
815	1052	237
816	1053	236
817	1060	236
818	1063	234
819	1065	233
820	1066	232
821	1067	231
822	1068	229
823	1073	229
824	1081	229
825	1082	228
826	1084	226
827	1091	226
828	1093	225
829	1096	224
830	1099	223
831	1105	223
832	1106	221
833	1107	220
834	1109	219
835	1110	217
836	1111	216
837	1113	215
838	1114	213
839	1120	213
840	1124	212
841	1126	211
842	1127	209
843	1128	208
844	1129	207
845	1133	206
846	1136	205
847	1138	204
848	1141	202
849	1142	201
850	1143	200
851	1145	199
852	1151	198
853	1152	197
854	1153	195
855	1155	194
856	1156	192
857	1157	191
858	1158	190
859	1164	189
860	1166	188
861	1171	187
862	1172	186
863	1173	184
864	1177	183
865	1180	182
866	1181	181
867	1182	179
868	1184	178
869	1186	177
870	1187	175
871	1192	175
872	1194	173
873	1196	172
874	1197	171
875	1198	169
876	1199	168
877	1202	167
878	1203	165
879	1207	164
880	1209	163
881	1212	162
882	1212	160
883	1213	159
884	1214	157
885	1215	156
886	1217	155
887	1219	153
888	1223	152
889	1225	151
890	1226	150
891	1228	148
892	1229	147
893	1229	145
894	1230	144
895	1231	142
896	1235	141
897	1239	140
898	1241	139
899	1242	138
900	1244	136
901	1245	135
902	1246	133
903	1248	132
904	1250	131
905	1256	130
906	1258	129
907	1259	127
908	1263	126
909	1265	125
910	1267	123
911	1268	122
912	1269	121
913	1271	119
914	1273	118
915	1275	116
916	1281	115
917	1283	114
918	1284	113
919	1285	111
920	1286	110
921	1287	108
922	1288	107
923	1289	106
924	1290	104
925	1294	103
926	1296	102
927	1298	100
928	1299	99
929	1300	97
930	1301	96
931	1302	95
932	1303	93
933	1304	92
934	1310	91
935	1311	89
936	1312	88
937	1313	86
938	1314	85
939	1316	84
940	1317	82
941	1319	81
942	1321	79
943	1323	78
944	1324	77
945	1325	75
946	1326	74
947	1327	72
948	1328	71
949	1330	70
950	1331	68
951	1332	67
952	1333	65
953	1338	64
954	1339	63
955	1341	61
956	1342	60
957	1343	58
958	1344	57
959	1345	56
960	1346	54
961	1347	53
962	1348	51
963	1352	50
964	1354	49
965	1355	47
966	1356	46
967	1358	44
968	1359	43
969	1360	42
970	1361	40
971	1361	39
972	1362	37
973	1366	36
974	1368	35
975	1369	33
976	1370	32
977	1371	30
978	1372	29
979	1372	28
980	1373	26
981	1374	25
982	1374	23
983	1375	22
984	1376	20
985	1376	19
986	1377	18
987	1378	16
988	1380	15
989	1381	13
990	1382	12
991	1383	11
992	1384	9
993	1385	8
994	1385	6
995	1386	5
996	1387	4
997	1387	2
998	1388	1
999	1389	0
